,Station Names,Station Codes,Latitude,Longitude,Pincode
103,AKKIHEBBAIU,AKK,12.6227° N,76.3898° E,571605
104,AKKURTI,AKY,13.7971° N,79.6688° E,411044
105,AKODIA,AKD,23.3814° N,76.6037° E,465223
106,AKOLA JN,AK,20.7228° N,77.0051° E,444001
107,AKOLNER,AKR,18.9859° N,74.6554° E,414005
108,AKORA,AKW,25.6000° N,71.1833° E,757001
109,AKOT,AKOT,21.0973° N,77.0536° E,444101
110,AKRA,AKRA,22.5227° N,88.2525° E,700141
111,AKSHAYWAT R NGR,AYRN,,,844502
112,AKURDI,AKRD,18.6505° N,73.7786° E,411044
113,ALAHABAD CHEOKI,ACOI,,,211008
114,ALAI,ALAI,27.3287° N,73.5741° E,341001
115,ALAKKUDI,ALK,11.3743° N,79.7680° E,613601
116,ALAL,ALAL,20.5937° N,78.9629° E,0
117,ALAMANDA,ALM,17.9938° N,83.2359° E,535250
118,ALAMNAGAR,AMG,25.5662° N,86.8982° E,226017
119,ALAMPUR,ALMR,15.8843° N,78.1194° E,518004
120,ALAMPUR ROAD,ALPR,15.8954° N,78.0466° E,518004
121,ALANDI,ALN,18.6783° N,73.8950° E,412201
122,ALAPADU,AAU,16.5813° N,81.3228° E,521340
123,ALAPAKAM,ALP,13.0490° N,80.1673° E,603211
124,ALATTAMBADI,ATB,10.6016° N,79.6607° E,610203
125,ALAWALPUR,AWL,31.4345° N,75.6499° E,144301
126,ALAWALPUR I PUR,AIH,29.0478° N,77.2712° E,250611
127,ALER,ALER,17.6437° N,79.0430° E,508101
128,ALEWAHI,AWH,20.3650° N,79.7007° E,441221
129,ALGAPUR,ALGP,24.8668° N,92.6872° E,788150
130,ALGAWAN,AIG,,,0
131,ALIA BADA,ALB,22.4455° N,70.2088° E,361110
132,ALIGANJ,ALJ,27.4922° N,79.1690° E,244714
133,ALIGARH JN,ALJN,27.8894° N,78.0746° E,202001
134,ALINAGAR TOLA,ATX,25.8475° N,87.3277° E,854306
135,ALINDRA ROAD,AIR,,,391775
136,ALIPUR DUAR,APD,26.4838° N,89.5350° E,736121
137,ALIPUR DUAR CRT,APDC,,,736121
138,ALIPUR DUAR JN,APDJ,,,736123
139,ALIYABAD,AYB,12.6262° N,79.2169° E,0
140,ALLAHABAD CITY,ALY,25.4358° N,81.8463° E,211003
