Train Number,Train Name,Arrival Delays,Departure Delays
38710,KGP HWL LADIES SPL,$ $5 min$6 min$4 min$6 min$8 min$7 min$7 min$9 min$8 min$9 min$10 min$7 min$12 min$15 min$11 min$17 min$12 min$12 min$12 min$1 min,$1 min$5 min$6 min$4 min$6 min$8 min$7 min$7 min$9 min$8 min$9 min$10 min$7 min$12 min$15 min$11 min$17 min$12 min$12 min$12 min$ 
38714,KGP HWH FAST,$ $3 min$1 min$5 min$3 min$3 min$2 min$3 min$4 min$3 min$3 min$0,$0$3 min$1 min$5 min$3 min$3 min$2 min$3 min$4 min$3 min$3 min$ 
38718,KGP SRC LOCAL,$ $4 min$6 min$13 min$8 min$6 min$6 min$6 min$7 min$12 min$7 min$7 min$7 min$14 min$2:19 hrs$12 min$16 min$15 min$13 min$1:11 hrs,$0$4 min$7 min$13 min$8 min$6 min$6 min$7 min$7 min$12 min$7 min$8 min$3:09 hrs$14 min$2:19 hrs$12 min$16 min$15 min$13 min$ 
38720,KGP HWH LOCAL,$ $2 min$2 min$4 min$3 min$3 min$2 min$3 min$1:36 hrs$2 min$1:08 hrs$4 min$6 min$3:14 hrs$1:21 hrs$8 min$13 min$8 min$1:11 hrs$8 min$0,$1 min$2 min$2 min$4 min$4 min$3 min$2 min$3 min$1 min$1:14 hrs$1:08 hrs$4 min$6 min$3:14 hrs$1:21 hrs$8 min$13 min$8 min$1:11 hrs$8 min$ 
38722,KGP HWH LOCAL,$ $41 min$1 min$1 min$3 min$3 min$2 min$2 min$3 min$3 min$4 min$10 min$8 min$12 min$6 min$10 min$14 min$7 min$26 min$2 min,$2 min$41 min$1 min$1 min$25 min$3 min$2 min$2 min$3 min$3 min$7 min$10 min$9 min$12 min$6 min$10 min$14 min$7 min$26 min$ 
38724,KGP HWH LOCAL,$ $1 min$5 min$7 min$7 min$7 min$7 min$5 min$7 min$10 min$11 min$9 min$11 min$14 min$13 min$8 min$6 min$2 min$6 min$8 min$0,$0$1 min$5 min$7 min$7 min$7 min$7 min$5 min$10 min$10 min$11 min$9 min$11 min$14 min$13 min$9 min$6 min$2 min$6 min$8 min$ 
38708,KGP HWH LOCAL,$ $1 min$2 min$2 min$3 min$4 min$4 min$4 min$4 min$5 min$5 min$7 min$5 min$6 min$3 min$9 min$2 min$2 min$4 min$8 min$6 min$0,$0$1 min$2 min$2 min$3 min$4 min$4 min$4 min$4 min$5 min$5 min$7 min$5 min$6 min$3 min$9 min$2 min$2 min$4 min$8 min$6 min$ 
08017,KGP JGM SPL,$ $2 min$3 min$8 min$5 min$2 min,$0$2 min$3 min$8 min$5 min$ 
08051,KGP JGM SPL,$ $15 min,$19 min$ 
58009,KGP JJKR PASS,,
58005,KGP KUR PASS,$ $12 min$13 min$16 min$15 min$13 min$21 min$22 min$22 min$23 min$22 min$19 min$22 min$21 min$13 min$19 min$18 min$18 min$27 min$0$4 min$7 min$9 min$10 min$19 min$30 min$50 min$52 min$1:06 hrs$59 min$1 hrs,$4 min$12 min$13 min$18 min$15 min$14 min$24 min$24 min$23 min$23 min$24 min$23 min$21 min$21 min$13 min$20 min$22 min$28 min$27 min$3 min$5 min$7 min$9 min$8 min$20 min$32 min$50 min$51 min$1:06 hrs$58 min$ 
22875,KGP  PRR  EXRES,$ $0$3 min$5 min$6 min$8 min$9 min$9 min$12 min$18 min$7 min$9 min$9 min,$5 min$0$4 min$6 min$6 min$8 min$9 min$9 min$13 min$18 min$7 min$10 min$ 
38716,KGP HWH LOCAL,$ $5 min$5 min$3 min$4 min$4 min$6 min$6 min$5 min$7 min$6 min$9 min$8 min$8 min$11 min$26 min$5 min$8 min$9 min$1 min,$3 min$5 min$5 min$3 min$4 min$4 min$6 min$6 min$5 min$7 min$6 min$11 min$8 min$8 min$11 min$26 min$5 min$8 min$9 min$ 
68013,KGP TATA MEMU,$ $14 min$16 min$13 min$12 min$4 min$4 min$4 min$3 min$2 min$1 min$1 min$2 min$0,$2 min$14 min$16 min$13 min$13 min$5 min$4 min$4 min$3 min$2 min$2 min$1 min$2 min$ 
68005,KGP TATA MEMU,$ $20 min$9 min$21 min$23 min$23 min$7 min$12 min$6:10 hrs$6 min$9 min$14 min$8 min$0,$2 min$21 min$9 min$21 min$24 min$24 min$7 min$13 min$11 min$6 min$9 min$4:15 hrs$17 min$ 
68011,KGP TATA MEMU,$ $16 min$14 min$15 min$16 min$17 min$14 min$15 min$12 min$16 min$2 min$23 min$1 min,$6 min$16 min$14 min$16 min$16 min$17 min$14 min$15 min$12 min$16 min$2 min$20 min$ 
68015,KGP TATA MEMU,$ $7 min$7 min$13 min$18 min$24 min$34 min$36 min$35 min$38 min$37 min$31 min$26 min$18 min,$1 min$8 min$7 min$14 min$23 min$32 min$39 min$37 min$38 min$38 min$39 min$34 min$26 min$ 
58021,KGP TATA PASS,$ $14 min$27 min$28 min$38 min$34 min$33 min$32 min$35 min$32 min$38 min$37 min$45 min$0,$6 min$22 min$29 min$39 min$42 min$37 min$34 min$33 min$35 min$31 min$39 min$40 min$1:17 hrs$ 
22603,KGP VM SF EXP,$ $0$16 min$0$25 min$17 min$9 min$27 min$36 min$5 min$0$0$7 min$8 min$0$0,$4 min$1 min$16 min$10 min$22 min$17 min$9 min$26 min$37 min$1 min$14 min$2 min$7 min$9 min$1 min$ 
22604,KHARAGPUR EXP,$ $0$0$9 min$0$5 min$0$30 min$40 min$31 min$0$5 min$0,$0$1 min$0$9 min$4 min$8 min$28 min$25 min$41 min$31 min$6 min$5 min$ 
95002,KHPI CSTM FAST,$ $0$0$0$1 min$1 min$1 min$4 min,$1 min$0$0$0$1 min$1 min$1 min$ 
95004,KHPI CSTM FAST,$ $2 min$3 min$3 min$3 min$5 min$5 min$8 min,$2 min$3 min$3 min$3 min$2 min$5 min$5 min$ 
95006,KHPI CSTM FAST,$ $0$1 min$1 min$1 min$1 min$2 min$3 min,$2 min$2 min$1 min$1 min$1 min$2 min$2 min$ 
95008,KHPI CSTM FAST,$ $4 min$5 min$5 min$5 min$5 min$5 min$9 min,$5 min$5 min$5 min$5 min$5 min$5 min$5 min$ 
95010,KHPI CSTM FAST,$ $3 min$3 min$3 min$4 min$4 min$5 min$10 min$8 min,$1 min$4 min$3 min$3 min$4 min$4 min$5 min$10 min$ 
95404,KSRA CSTM FAST,$ $1 min$1 min$2 min$2 min$2 min$3 min$4 min$4 min$5 min,$0$1 min$1 min$2 min$2 min$2 min$3 min$5 min$4 min$ 
96016,KHPI KJT LOCAL,$ $10 min,$10 min$ 
96002,KHPI KJT LOCAL,$ $11 min,$11 min$ 
96004,KHPI KJT LOCAL,$ $3 min,$3 min$ 
96006,KHPI KJT LOCAL,$ $8 min,$7 min$ 
96008,KHPI KJT LOCAL,$ $15 min,$3 min$ 
96010,KHPI KJT LOCAL,$ $1 min,$2 min$ 
96012,KHPI KJT LOCAL,$ $0,$1 min$ 
96014,KHPI KJT LOCAL,$ $9 min,$9 min$ 
96018,KHPI KJT LOCAL,$ $7 min,$8 min$ 
