Train Number,Train Name,Arrival Delays,Departure Delays
12723,TELANGANA  EXP,$ $11 min$20 min$19 min$21 min$17 min$28 min$6 min$10 min$11 min$31 min$27 min$37 min$43 min$50 min$30 min$27 min$20 min,$2 min$13 min$20 min$20 min$22 min$18 min$31 min$14 min$12 min$34 min$31 min$29 min$44 min$46 min$52 min$32 min$27 min$ 
20806,A P EXP,,
12724,TELANGANA EXP,$ $12 min$20 min$10 min$36 min$57 min$54 min$51 min$13 min$39 min$37 min$39 min$45 min$1:02 hrs$1:02 hrs$6 min,$0$15 min$24 min$11 min$38 min$58 min$53 min$51 min$27 min$38 min$37 min$39 min$47 min$1:04 hrs$1:03 hrs$ 
12707,A P SMPRK KRNTI,$ $7 min$10 min$8 min$13 min$1 min$0$9 min$28 min$20 min$32 min$53 min$54 min$58 min$1:05 hrs$43 min$20 min$56 min$50 min$1:09 hrs,$0$25 min$13 min$8 min$13 min$5 min$8 min$10 min$28 min$39 min$40 min$53 min$54 min$59 min$1:06 hrs$51 min$48 min$56 min$51 min$ 
54582,DLPC NLDM PASS,$ $1 min$3 min$2 min$1 min$0,$0$2 min$2 min$2 min$2 min$ 
74992,DLPC UMB DEMU,$ $0$1 min$10 min$13 min$5 min$9 min$12 min$14 min$17 min$17 min$20 min$22 min$18 min$20 min$16 min$18 min$19 min$19 min$23 min$20 min,$0$1 min$10 min$10 min$15 min$6 min$11 min$13 min$17 min$13 min$19 min$24 min$10 min$19 min$21 min$12 min$18 min$19 min$22 min$28 min$ 
15909,ABADH ASSAM EXP,$ $1:31 hrs$1:39 hrs$1:20 hrs$1:32 hrs$1:38 hrs$1:34 hrs$1:40 hrs$1:33 hrs$1:37 hrs$1:36 hrs$1:43 hrs$1:09 hrs$2:36 hrs$2:37 hrs$2:31 hrs$2:18 hrs$2:16 hrs$2:18 hrs$3:22 hrs$12 min$2:20 hrs$2:28 hrs$2:13 hrs$2:07 hrs$2:45 hrs$2:16 hrs$2:15 hrs$2:13 hrs$1:28 hrs$1:32 hrs$1:34 hrs$1:37 hrs$1:39 hrs$1:47 hrs$1:22 hrs$1:37 hrs$1:29 hrs$1:24 hrs$1:49 hrs$1:28 hrs$1:24 hrs$1:36 hrs$1:19 hrs$1:22 hrs$1:25 hrs$1:20 hrs$1:26 hrs$1:32 hrs$1:30 hrs$1:28 hrs$0$1:17 hrs$1:18 hrs$1:11 hrs$1:16 hrs$1:55 hrs$1:53 hrs$1:18 hrs$1:07 hrs$19 min$1:45 hrs$1:43 hrs$1:31 hrs$1:34 hrs$1:52 hrs$2:16 hrs$1:57 hrs$2:01 hrs$2:07 hrs$2:14 hrs$1:37 hrs$1:45 hrs$1:46 hrs$1:50 hrs$1:49 hrs$1:55 hrs$1:58 hrs$2:01 hrs$2:08 hrs$1:23 hrs$1:03 hrs$1:19 hrs$1:04 hrs$1:22 hrs$1:22 hrs$1:41 hrs$1:49 hrs$1:17 hrs,$1:26 hrs$1:37 hrs$1:39 hrs$1:31 hrs$1:32 hrs$1:41 hrs$1:34 hrs$1:40 hrs$1:33 hrs$1:37 hrs$1:36 hrs$1:43 hrs$2:39 hrs$2:35 hrs$2:32 hrs$2:30 hrs$2:16 hrs$2:16 hrs$2:18 hrs$3:23 hrs$2:12 hrs$2:22 hrs$2:28 hrs$1:42 hrs$2:07 hrs$2:46 hrs$2:16 hrs$2:12 hrs$2:13 hrs$1:27 hrs$1:32 hrs$1:34 hrs$1:40 hrs$1:41 hrs$1:47 hrs$1:25 hrs$1:36 hrs$1:27 hrs$1:24 hrs$1:27 hrs$1:28 hrs$1:28 hrs$1:40 hrs$1:20 hrs$1:23 hrs$1:25 hrs$1:21 hrs$1:26 hrs$1:35 hrs$1:34 hrs$1:27 hrs$0$1:20 hrs$1:17 hrs$1:13 hrs$1:15 hrs$1:56 hrs$1:57 hrs$1:34 hrs$1:15 hrs$20 min$1:45 hrs$1:43 hrs$1:33 hrs$1:34 hrs$1 min$2:26 hrs$1:57 hrs$2:03 hrs$2:09 hrs$2:14 hrs$2:09 hrs$1:43 hrs$1:46 hrs$1:50 hrs$1:51 hrs$1:55 hrs$1:58 hrs$2:01 hrs$2:08 hrs$1:18 hrs$1:23 hrs$1:20 hrs$1:13 hrs$1:25 hrs$1:28 hrs$1:46 hrs$1:49 hrs$ 
95302,ABH CSTM FAST,$ $4 min,$2 min$ 
95304,ABH CSTM FAST,$ $2 min,$1 min$ 
95306,ABH CSTM FAST,$ $2 min,$0$ 
95308,ABH CSTM FAST,$ $4 min,$1 min$ 
95310,ABH CSTM FAST,$ $19 min,$0$ 
95312,ABH CSTM FAST,$ $2 min,$1 min$ 
95314,ABH CSTM FAST,$ $2 min,$1 min$ 
95316,ABH CSTM FAST,$ $2 min,$0$ 
95318,ABH CSTM FAST,$ $10 min,$4 min$ 
95320,ABH CSTM FAST,$ $15 min,$5 min$ 
95322,ABH DR FAST,$ $12 min,$8 min$ 
95324,ABH CSTM FAST,$ $13 min,$12 min$ 
95328,ABH CSTM FAST,$ $10 min,$4 min$ 
95332,ABH CSTM FAST,$ $7 min,$6 min$ 
95334,ABH CSTM FAST,$ $4 min,$5 min$ 
95336,ABH CSTM FAST,$ $11 min$2 min,$0$11 min$ 
96302,ABH CSTM LOCAL,$ $0,$0$ 
96304,ABH CSTM LOCAL,$ $0,$0$ 
96306,ABH CSTM LOCAL,$ $35 min,$0$ 
96308,ABH CSTM LOCAL,$ $4 min,$1 min$ 
96310,ABH CSTM LOCAL,$ $1 min,$0$ 
96312,ABH CSTM LOCAL,$ $0,$0$ 
96314,ABH CSTM LOCAL,$ $5 min,$3 min$ 
96316,ABH CSTM LOCAL,$ $8 min,$2 min$ 
96318,ABH CSTM LOCAL,$ $12 min,$6 min$ 
96320,ABH CSTM LOCAL,$ $5 min,$4 min$ 
96322,ABH CSTM LOCAL,$ $8 min,$4 min$ 
96324,ABH CSTM LOCAL,$ $5 min,$0$ 
96326,ABH CSTM LOCAL,$ $6 min,$4 min$ 
96328,ABH CSTM LOCAL,$ $13 min,$9 min$ 
96330,ABH CSTM LOCAL,$ $12 min,$3 min$ 
96332,ABH CSTM LOCAL,,
96334,ABH CSTM LOCAL,,
95326,ABH CSTM FAST,$ $16 min,$13 min$ 
95330,ABH CSTM FAST,$ $8 min,$8 min$ 
68750,ABKP SDL MEMU,$ $59 min$1 hrs$1:06 hrs$1:15 hrs$1:24 hrs$1:38 hrs$1:44 hrs$1:48 hrs$1:54 hrs$2 hrs$1:51 hrs$1:50 hrs$1:51 hrs$1:53 hrs$1:51 hrs$1:22 hrs$1:22 hrs$1:47 hrs$1:05 hrs$5 min,$57 min$1 hrs$1 hrs$1:08 hrs$1:20 hrs$1:39 hrs$1:42 hrs$1:48 hrs$1:53 hrs$1:58 hrs$2:01 hrs$1:48 hrs$1:51 hrs$1:52 hrs$1:54 hrs$1:51 hrs$1:21 hrs$1:26 hrs$1:49 hrs$1:04 hrs$ 
18242,ABKP DURG PAS EX,$ $13 min$13 min$17 min$24 min$31 min$34 min$38 min$37 min$39 min$40 min$32 min$42 min$45 min$42 min$42 min$19 min$29 min$30 min$23 min$24 min$0$26 min$24 min$21 min$20 min$19 min$18 min$0,$11 min$13 min$12 min$22 min$30 min$32 min$34 min$37 min$37 min$41 min$40 min$36 min$42 min$44 min$42 min$42 min$33 min$30 min$28 min$27 min$24 min$0$26 min$24 min$21 min$20 min$19 min$19 min$ 
11266,ABKP MML EXPRESS,$ $2 min$7 min$15 min$22 min$22 min$26 min$30 min$24 min$31 min$29 min$11 min$25 min$10 min$12 min,$0$2 min$12 min$14 min$23 min$22 min$25 min$31 min$30 min$34 min$31 min$24 min$25 min$7 min$ 
58702,ABKP SDL PASS,$ $25 min$22 min$26 min$28 min$36 min$43 min$44 min$46 min$50 min$55 min$44 min$49 min$46 min$46 min$42 min$33 min$35 min$39 min$48 min$2 min,$23 min$24 min$22 min$25 min$36 min$38 min$43 min$45 min$49 min$54 min$57 min$43 min$49 min$47 min$45 min$36 min$32 min$38 min$41 min$27 min$ 
79438,ABR MSH DMU,$ $7 min$7 min$8 min$7 min$9 min$9 min$7 min$0$1 min$4 min$7 min$10 min$9 min$17 min$23 min$20 min,$5 min$7 min$7 min$8 min$7 min$9 min$9 min$7 min$3 min$2 min$5 min$9 min$10 min$16 min$22 min$24 min$ 
54703,ABS JU PASSENGR,$ $13 min$21 min$20 min$24 min$12 min$12 min$17 min$13 min$13 min$11 min$19 min$19 min$21 min$10 min$15 min$15 min$17 min$11 min$28 min$28 min$29 min$27 min$30 min$31 min$31 min$27 min$33 min$32 min$34 min$34 min$30 min$34 min$5 min$5 min$7 min$8 min$8 min$7 min$6 min$9 min$19 min$25 min$31 min$29 min$0$12 min$11 min$11 min$9 min$13 min$25 min$30 min$30 min$31 min$32 min$18 min$0,$5 min$25 min$19 min$25 min$24 min$10 min$13 min$17 min$13 min$24 min$19 min$19 min$21 min$22 min$10 min$15 min$15 min$16 min$21 min$28 min$28 min$29 min$31 min$30 min$32 min$35 min$28 min$31 min$31 min$33 min$33 min$57 min$1 min$5 min$7 min$8 min$12 min$9 min$9 min$8 min$19 min$23 min$34 min$32 min$41 min$10 min$17 min$13 min$11 min$14 min$24 min$31 min$30 min$31 min$32 min$32 min$21 min$ 
17409,ADB NED EXP,$ $24 min$33 min$27 min$29 min$45 min$37 min$20 min$0,$8 min$24 min$33 min$27 min$37 min$45 min$37 min$25 min$ 
57552,ADB PAU PASS,$ $1 min$1 min$9 min$5 min$6 min$11 min$26 min$26 min$25 min$25 min$29 min$27 min$37 min$40 min$26 min$35 min$36 min$4 min,$2 min$1 min$4 min$9 min$7 min$7 min$27 min$27 min$27 min$26 min$26 min$30 min$33 min$40 min$40 min$39 min$44 min$21 min$ 
57554,ADB PRLI  PASS,$ $4 min$8 min$10 min$11 min$17 min$24 min$31 min$35 min$34 min$40 min$21 min$20 min$17 min$15 min$17 min$2 min$14 min$18 min$25 min$58 min$1:03 hrs$38 min$50 min$1:12 hrs$1:26 hrs$20 min,$2 min$4 min$8 min$11 min$13 min$23 min$29 min$32 min$36 min$35 min$40 min$35 min$21 min$19 min$15 min$19 min$16 min$20 min$38 min$55 min$58 min$1:14 hrs$41 min$1 hrs$1:24 hrs$1:25 hrs$ 
92003,ADH VRR FAST,,
90609,CCG VIRAR LOCAL,,
90707,ADH BSR FAST,,
90735,CCG BVI LOCAL,,
92025,ADH BSR FAST,,
90189,BVI BYR FAST,,
91093,ADH BSR LOCAL,,
90001,ADH BVI LOCAL,,
90035,MX BVI LOCAL,,
90675,ADH BYR FAST,,
91221,CCG BVI LOCAL,,
90623,CCG BVI FAST,,
91047,BVI VR LOCAL,,
92029,ADH BYR LOCAL,,
91115,CCG BVI LOCAL,,
90002,ADH CCG LOCAL,,
90030,BVI CCG LOCAL,,
90040,BYR CCG SEMI FAST,,
90068,BVI CCG LOCAL,,
90098,BSR DDR FAST,,
90104,BVI CCG LOCAL,,
90132,BVI CCG LOCAL,,
90160,BVI CCG LOCAL,,
90170,BVI CCG LOCAL,,
90176,ADH CCG LOCAL,,
90186,BVI CCG LOCAL,,
90192,ADH CCG LOCAL,,
90204,BA CCG LOCAL,,
90210,MDD CCG FAST,,
90224,ADH CCG LOCAL,,
90236,ADH CCG LOCAL,,
90244,MDD CCG FAST,,
90252,VIRAR CCG SEMI FAST,,
90266,BA CCG LOCAL,,
90278,ADH CCG LOCAL,,
90290,ADH CCG LOCAL,,
90304,ADH CCG LOCAL,,
90312,ADH CCG LOCAL,,
90322,ADH CCG LOCAL,,
90334,ADH CCG LOCAL,,
90342,ADH CCG LOCAL,,
90348,ADH CCG LOCAL,,
90362,ADH CCG LOCAL,,
90374,ADH CCG LOCAL,,
90380,ADH CCG LOCAL,,
90388,BVI CCG SEMI FAST,,
90394,BVI CCG LOCAL,,
90408,ADH CCG LOCAL,,
90418,ADH CCG LOCAL,,
90434,ADH CCG LOCAL,,
90446,ADH CCG LOCAL,,
90464,ADH CCG LOCAL,,
90476,ADH CCG LOCAL,,
90510,ADH CCG LOCAL,,
90520,ADH CCG LOCAL,,
90544,ADH CCG LOCAL,,
90570,BSR DDR FAST,,
90622,BVI CCG LOCAL,,
90636,BVI CCG LOCAL,,
90646,VIRAR CCG SEMI FAST,,
90662,ADH CCG LOCAL,,
90668,ADH CCG LOCAL,,
90696,VIRAR BVI LOCAL,,
90746,ADH CCG LOCAL,,
90774,ADH CCG LOCAL,,
90784,BVI CCG LOCAL,,
90794,ADH CCG LOCAL,,
90808,VIRAR CCG FAST,,
90824,BA CCG LOCAL,,
90838,ADH CCG LOCAL,,
90854,NSP ADH LOCAL,,
90862,BVI CCG FAST,,
90876,VIRAR BVI LOCAL,,
90900,VIRAR DDR FAST,,
90918,BVI CCG FAST,,
90936,ADH CCG LOCAL,,
90950,ADH CCG LOCAL,,
90956,ADH CCG LOCAL,,
90968,ADH CCG LOCAL,,
90992,BVI CCG SEMI FAST,,
90996,BVI CCG LOCAL,,
91004,VIRAR CCG SEMI FAST,,
91014,ADH CCG LOCAL,,
91020,VIRAR CCG SEMI FAST,,
91028,BVI CCG SEMI FAST,,
98702,ADH CSTM LOCAL,,
98704,ADH CSTM LOCAL,,
98706,ADH CSTM LOCAL,,
98708,ADH CSTM LOCAL,,
98710,ADH CSTM LOCAL,,
98712,ADH CSTM LOCAL,,
98714,ADH CSTM LOCAL,,
98716,ADH CSTM LOCAL,,
98718,ADH CSTM LOCAL,,
98720,ADH CSTM LOCAL,,
98722,ADH CSTM LOCAL,,
98724,ADH CSTM LOCAL,,
98726,GMN CSTM LOCAL,,
98728,GMN CSTM LOCAL,,
98730,GMN CSTM LOCAL,,
98732,GMN CSTM LOCAL,,
98734,GMN CSTM LOCAL,,
98736,GMN CSTM LOCAL,,
98738,GMN CSTM LOCAL,,
98740,GMN CSTM LOCAL,,
98742,GMN CSTM LOCAL,,
98744,GMN CSTM LOCAL,,
98746,GMN CSTM LOCAL,,
98748,GMN CSTM LOCAL,,
98750,GMN CSTM LOCAL,,
98752,GMN CSTM LOCAL,,
98754,GMN CSTM LOCAL,,
98756,GMN CSTM LOCAL,,
98760,GMN CSTM LOCAL,,
98762,GMN CSTM LOCAL,,
98764,GMN CSTM LOCAL,,
98766,GMN CSTM LOCAL,,
98768,ADH CSTM LOCAL,,
98770,ADH CSTM LOCAL,,
98772,ADH CSTM LOCAL,,
98774,ADH CSTM LOCAL,,
98776,ADH CSTM LOCAL,,
98778,ADH CSTM LOCAL,,
98780,ADH CSTM LOCAL,,
98782,ADH CSTM LOCAL,,
98784,ADH CSTM LOCAL,,
90251,ADH NSP LOCAL,,
91139,CCG VR FAST,,
91171,CCG BVI LOCAL,,
98900,ADH PNVL LOCAL,,
98902,ADH PNVL LOCAL,,
98904,ADH PNVL LOCAL,,
98906,ADH PNVL LOCAL,,
98908,ADH PNVL LOCAL,,
98910,ADH PNVL LOCAL,,
98912,ADH PNVL LOCAL,,
98914,ADH PNVL LOCAL,,
98916,ADH PNVL LOCAL,,
90007,BA VR LOCAL,,
90027,CCG BVI LOCAL,,
90149,BA VR LOCAL,,
90309,ADH VR LOCAL,,
90395,ADH VR LOCAL,,
90487,ADH VR LOCAL,,
90519,ADH VR LOCAL,,
90543,ADH VR LOCAL,,
90709,CCG VIRAR LOCAL,,
90741,ADH BSR SEMI FAST,,
90761,DDR VIRAR FAST,,
90795,ADH VR LOCAL,,
90829,BVI VR LOCAL,,
90973,BA VIRAR LOCAL,,
90985,ADH VR LOCAL,,
90993,ADH VR LOCAL,,
91063,ADH VR LOCAL,,
90365,BVI NSP LOCAL,,
90783,BVI BSR LOCAL,,
92021,DDR VIRAR FAST,,
92023,CCG VR FAST,,
90923,CCG BA LOCAL,,
91023,CCG BVI FAST,,
92007,CCG VR FAST,,
92009,CCG VR FAST,,
90349,ADH VRR SEMI FAST,,
90501,ADH VRR SEMI FAST,,
79430,ADI ANND FAST DMU,$ $48 min$48 min$43 min,$46 min$48 min$48 min$ 
69106,ADI ANND MEMU,$ $3 min$4 min$5 min$5 min$2 min$4 min$3 min$3 min$4 min$0,$1 min$5 min$5 min$6 min$9 min$2 min$4 min$3 min$3 min$5 min$ 
69116,ADI ANND MEMU,$ $3 min$3 min$3 min$4 min$2:59 hrs,$2 min$3 min$3 min$0$6 min$ 
69128,ADI ANND MEMU,$ $4 min$5 min$8 min$13 min$14 min$15 min$15 min$16 min$12 min$0,$4 min$6 min$6 min$13 min$14 min$14 min$15 min$16 min$19 min$15 min$ 
69130,ADI ANND MEMU,$ $5 min$3 min$5 min$7 min$4 min$7 min$8 min$4 min$5 min$0,$5 min$6 min$5 min$5 min$9 min$6 min$8 min$8 min$4 min$10 min$ 
14804,ADI BGKT EXPRESS,$ $6 min$19 min$41 min$30 min$9 min$11 min$10 min$9 min$10 min$16 min$15 min$13 min$17 min$19 min$23 min$38 min$11 min,$4 min$9 min$19 min$41 min$30 min$11 min$11 min$5 min$9 min$9 min$16 min$15 min$13 min$17 min$20 min$34 min$37 min$ 
19036,ADI BRC INTERCITY EXP,$ $1 min$4 min$3 min$3 min$3 min$6 min$6 min$9 min$0,$2 min$3 min$4 min$3 min$3 min$3 min$6 min$6 min$11 min$ 
69114,ADI BRC MEMU,$ $12 min$9 min$11 min$12 min$13 min$13 min$15 min$15 min$16 min$16 min$16 min$15 min$15 min$16 min$16 min$8 min,$13 min$12 min$11 min$11 min$14 min$15 min$16 min$15 min$16 min$16 min$17 min$18 min$16 min$16 min$16 min$16 min$ 
69108,ADI BRC MEMU,$ $4 min$2 min$4 min$6 min$6 min$7 min$8 min$9 min$10 min$8 min$9 min$12 min$13 min$12 min$12 min$3 min,$3 min$4 min$3 min$4 min$6 min$6 min$8 min$9 min$9 min$10 min$8 min$9 min$12 min$12 min$12 min$14 min$ 
69102,ADI BRC MEMU,$ $0$2 min$3 min$5 min$3 min$5 min$8 min$7 min$2 min$2 min$3 min$6 min$8 min$5 min$4 min$2 min,$1 min$1 min$3 min$3 min$5 min$4 min$5 min$7 min$8 min$6 min$3 min$3 min$6 min$8 min$6 min$6 min$ 
19420,ADI CHENNAI EXP,$ $0$0$2 min$0$5 min$3 min$2 min$0$9 min$28 min$0$0$12 min$18 min$7 min$17 min$22 min$59 min$53 min$20 min$23 min$14 min$0$6 min$10 min$0,$0$0$2 min$2 min$3 min$5 min$3 min$0$2 min$21 min$34 min$2 min$2 min$15 min$31 min$9 min$38 min$25 min$59 min$52 min$24 min$23 min$14 min$1 min$3 min$10 min$ 
15560,ADI DBG JANSADHARAN,$ $11 min$9 min$7 min$0$18 min$0$29 min$54 min$5 min$12 min$0$1:20 hrs$1:40 hrs$1:33 hrs$1:34 hrs$1:27 hrs$1:55 hrs$2:10 hrs$2:10 hrs$2:26 hrs$2:48 hrs$3:05 hrs$3:18 hrs$3:05 hrs$2:50 hrs$2:45 hrs,$17 min$11 min$9 min$6 min$0$18 min$0$33 min$54 min$6 min$12 min$11 min$1:24 hrs$1:41 hrs$1:45 hrs$1:28 hrs$1:27 hrs$2:32 hrs$2:07 hrs$2:10 hrs$2:26 hrs$2:48 hrs$3:30 hrs$3:18 hrs$3:10 hrs$2:50 hrs$ 
12931,ADI DOUBLE DECKR,$ $6 min$5 min$1 min$7 min$0$4 min$9 min$12 min$10 min$2 min,$1 min$6 min$5 min$3 min$5 min$0$5 min$8 min$15 min$10 min$ 
12267,RJT DURONTO EXP,$ $0$9 min$0,$0$2 min$4 min$ 
12298,ADI DURONTO EXP,$ $6 min$0$0,$1 min$7 min$3 min$ 
69131,ADI GNC MEMU,$ $13 min$13 min$12 min$8 min,$10 min$13 min$13 min$11 min$ 
19223,ADI JAT EXPRESS,$ $5 min$18 min$26 min$26 min$0$2 min$25 min$0$0$7 min$8 min$21 min$31 min$31 min$32 min$31 min$34 min$28 min$0$7 min$10 min$21 min$21 min$18 min$35 min$22 min$0$10 min$9 min$16 min$10 min$13 min$12 min$15 min$16 min$17 min$6 min$16 min$19 min$24 min$24 min$22 min$11 min$11 min$12 min$19 min$29 min$29 min$30 min$29 min$20 min$27 min$24 min$19 min$0,$1 min$6 min$20 min$27 min$25 min$1 min$7 min$25 min$1 min$4 min$8 min$13 min$21 min$32 min$31 min$32 min$31 min$39 min$29 min$3 min$7 min$10 min$15 min$25 min$24 min$36 min$24 min$5 min$13 min$10 min$17 min$12 min$13 min$20 min$16 min$16 min$16 min$9 min$16 min$24 min$24 min$24 min$17 min$6 min$13 min$16 min$27 min$32 min$29 min$29 min$28 min$20 min$27 min$25 min$23 min$ 
54804,ADI JU PASS,,
19401,ADI LUCKNOW EXP,$ $25 min$3 min$0$18 min$17 min$17 min$7 min$9 min$2 min$8 min$0$14 min$0$28 min$8 min$0$0$0$0$20 min$7 min$7 min$0$24 min$15 min,$7 min$32 min$5 min$0$18 min$17 min$17 min$9 min$9 min$2 min$9 min$7 min$13 min$0$28 min$20 min$0$0$2 min$15 min$20 min$17 min$7 min$9 min$24 min$ 
79431,ADI MSH DMU,$ $9 min$24 min$24 min$25 min$28 min$25 min$18 min,$6 min$14 min$25 min$25 min$26 min$27 min$26 min$ 
19421,ADI PNBE EXPRESS,$ $10 min$5 min$0$8 min$0$0$0$6 min$4 min$11 min$8 min$23 min$0$55 min$56 min$36 min$7 min$0$25 min$0$12 min$4 min$1 min$5 min$0,$17 min$9 min$5 min$3 min$8 min$0$0$0$6 min$4 min$11 min$6 min$24 min$1 min$55 min$40 min$43 min$17 min$0$25 min$0$12 min$0$1 min$16 min$ 
79435,ADI PTN DMU,$ $4 min$12 min$16 min$16 min$16 min$20 min$12 min$15 min$12 min$7 min,$0$4 min$15 min$17 min$15 min$18 min$28 min$20 min$15 min$12 min$ 
79433,ADI PTN DMU,$ $4 min$12 min$13 min$14 min$18 min$25 min$2 min$4 min$3 min$0,$2 min$4 min$13 min$14 min$18 min$26 min$30 min$6 min$5 min$3 min$ 
59473,ADI PTN PASS,$ $4 min$15 min$16 min$25 min$23 min$23 min$21 min$25 min$14 min$12 min$9 min$2 min,$1 min$9 min$16 min$16 min$25 min$24 min$22 min$25 min$34 min$9 min$17 min$9 min$ 
12844,ADI PURI EXP,$ $0$0$2 min$5 min$0$26 min$4 min$1 min$14 min$24 min$26 min$29 min$18 min$21 min$0$7 min$1 min$4 min$12 min$0$2 min$26 min$23 min$20 min$16 min$17 min$17 min$9 min$18 min$28 min$34 min$27 min$23 min$7 min$19 min$20 min$13 min$13 min$14 min$0$0$3 min,$3 min$1 min$0$1 min$5 min$0$25 min$6 min$7 min$18 min$24 min$27 min$29 min$17 min$22 min$5 min$7 min$2 min$6 min$12 min$3 min$4 min$26 min$23 min$20 min$17 min$18 min$18 min$9 min$18 min$31 min$34 min$33 min$22 min$21 min$19 min$19 min$12 min$13 min$14 min$0$0$ 
18406,ADI PURI EXP,$ $0$3 min$4 min$0$5 min$9 min$9 min$0$4 min$11 min$7 min$8 min$1:19 hrs$43 min$1:06 hrs$56 min$1:02 hrs$40 min$1:07 hrs$1:23 hrs$1:20 hrs$1:17 hrs$1:12 hrs$1:12 hrs$1:25 hrs$2:03 hrs$2:04 hrs$1:58 hrs$1:38 hrs$1:40 hrs$54 min$58 min$50 min$50 min,$0$0$3 min$4 min$0$10 min$8 min$9 min$0$11 min$10 min$8 min$6 min$1:20 hrs$53 min$1:06 hrs$55 min$1:03 hrs$39 min$1:05 hrs$1:23 hrs$1:20 hrs$1:17 hrs$1:12 hrs$1:12 hrs$1:43 hrs$2:03 hrs$2:04 hrs$1:55 hrs$1:38 hrs$1:40 hrs$57 min$1:20 hrs$50 min$ 
12958,ADI SJ RAJDHANI,$ $4 min$4 min$0$8 min$11 min$19 min$0$23 min$20 min$2 min,$0$4 min$4 min$1 min$11 min$11 min$20 min$2 min$23 min$21 min$ 
19119,ADI SMNH EXPRES,$ $4 min$4 min$0$5 min$14 min$21 min$18 min$9 min$9 min$13 min$15 min$17 min$12 min$7 min$6 min$0$0,$1 min$5 min$4 min$1 min$5 min$23 min$30 min$14 min$14 min$21 min$16 min$14 min$17 min$15 min$7 min$2 min$1 min$ 
19415,ADI SVDK EXPRESS,$ $19 min$13 min$0$9 min$38 min$40 min$21 min$23 min$4 min$13 min$21 min$23 min$24 min$10 min$0$0$0$0$0$20 min$20 min$34 min$20 min$36 min$3:45 hrs$4:26 hrs$4:15 hrs,$6 min$21 min$13 min$1 min$10 min$38 min$40 min$22 min$25 min$4 min$19 min$21 min$23 min$26 min$11 min$1 min$0$3 min$0$1 min$25 min$28 min$34 min$25 min$36 min$4:05 hrs$4:26 hrs$ 
19407,ADI VARANASI EXP,$ $24 min$42 min$20 min$32 min$13 min$8 min$0$4 min$0$0$25 min$25 min$50 min$1:05 hrs$54 min$1:15 hrs$1:33 hrs$1:22 hrs$1:21 hrs$55 min,$12 min$26 min$42 min$20 min$32 min$16 min$8 min$0$7 min$2 min$0$27 min$25 min$48 min$1:05 hrs$57 min$1:15 hrs$1:33 hrs$1:22 hrs$1:21 hrs$ 
16501,ADI YPR EXPRESS,$ $0$2 min$0$0$26 min$21 min$0$22 min$18 min$52 min$38 min$4 min,$1 min$0$2 min$0$1 min$24 min$24 min$29 min$28 min$20 min$52 min$39 min$ 
68061,ADRA ASN MEMU,$ $3 min$4 min$2 min$1 min$3 min$3 min$1 min$16 min,$0$4 min$4 min$3 min$1 min$5 min$3 min$5 min$ 
68063,ADRA ASN MEMU,$ $12 min$13 min$11 min$14 min$22 min$20 min$24 min$25 min,$12 min$13 min$14 min$12 min$17 min$25 min$19 min$9 min$ 
68065,ADRA ASN MEMU,$ $5 min$6 min$5 min$4 min$8 min$9 min$6 min$4 min,$3 min$5 min$7 min$5 min$5 min$9 min$9 min$8 min$ 
68067,ADRA ASN MEMU,$ $5 min$6 min$4 min$5 min$7 min$7 min$6 min$18 min,$0$5 min$6 min$4 min$5 min$7 min$7 min$9 min$ 
68069,ADRA ASN MEMU,$ $47 min$1:02 hrs$1 hrs$59 min$1:11 hrs$1:11 hrs$1:08 hrs,$55 min$56 min$1:02 hrs$1 hrs$1:09 hrs$1:21 hrs$1:11 hrs$ 
68053,ADRA BBM MEMU,$ $28 min$38 min$55 min$37 min$46 min$43 min$40 min$43 min$45 min$8 min,$28 min$31 min$37 min$55 min$37 min$48 min$38 min$43 min$43 min$11 min$ 
68075,ADRA BJE MEMU,$ $43 min$1:30 hrs$58 min$2 min,$41 min$48 min$1:30 hrs$11 min$ 
68082,ADRA VSU MEMU,$ $1:17 hrs$1:19 hrs$1:18 hrs$1:23 hrs$15 min,$1:14 hrs$1:17 hrs$1:19 hrs$1:18 hrs$1:24 hrs$ 
68098,ADRA GBA MEMU,$ $17 min$22 min$21 min$26 min$31 min$28 min$29 min$0,$15 min$19 min$22 min$24 min$27 min$31 min$29 min$17 min$ 
58016,ADRA HWH PASS,$ $4 min$3 min$4 min$2 min$4 min$4 min$4 min$4 min$5 min$4 min$5 min$0$1 min$0$5 min$3 min$4 min$9 min$10 min$7 min$1 min,$1 min$4 min$4 min$4 min$2 min$4 min$5 min$4 min$4 min$4 min$4 min$5 min$0$1 min$0$5 min$4 min$5 min$9 min$10 min$5 min$ 
58602,ADRA KGP PASS,,
68071,ADRA KNF MEMU,$ $8 min$13 min$13 min$11 min$16 min$11 min$18 min$10 min$13 min$13 min$8 min$0$2 min,$7 min$8 min$13 min$14 min$10 min$16 min$11 min$18 min$12 min$18 min$12 min$2 min$0$ 
68090,ADRA MDN MEMU,$ $20 min$21 min$22 min$23 min$18 min$14 min$27 min$28 min$30 min$30 min$31 min$0,$19 min$25 min$21 min$22 min$20 min$27 min$15 min$28 min$29 min$30 min$30 min$17 min$ 
68057,ADRA PRR MEMU,$ $10 min$18 min$19 min$20 min$19 min$0,$7 min$16 min$18 min$19 min$20 min$21 min$ 
