Station Names,Station Codes,Latitude,Longitude
ALAPAKAM,ALP,13.0490° N,80.1673° E
ALATTAMBADI,ATB,10.6016° N,79.6607° E
ALAWALPUR,AWL,31.4345° N,75.6499° E
ALAWALPUR I PUR,AIH,29.0478° N,77.2712° E
ALER,ALER,17.6437° N,79.0430° E
ALEWAHI,AWH,20.3650° N,79.7007° E
ALGAPUR,ALGP,24.8668° N,92.6872° E
ALGAWAN,AIG,null,null
ALIA BADA,ALB,22.4455° N,70.2088° E
ALIGANJ,ALJ,27.4922° N,79.1690° E
ALIGARH JN,ALJN,27.8894° N,78.0746° E
ALINAGAR TOLA,ATX,25.8475° N,87.3277° E
ALINDRA ROAD,AIR,null,null
ALIPUR DUAR,APD,26.4838° N,89.5350° E
ALIPUR DUAR CRT,APDC,null,null
ALIPUR DUAR JN,APDJ,null,null
ALIYABAD,AYB,12.6262° N,79.2169° E
ALLAHABAD CITY,ALY,25.4358° N,81.8463° E
ALLAHABAD JN,ALD,25.4453° N,81.8250° E
ALLEPPEY,ALLP,9.4981° N,76.3388° E
ALLURU ROAD,AXR,14.7101° N,79.9893° E
ALMATTI,LMT,16.3515° N,75.8795° E
ALMAW,ALMW,null,null
ALNAVAR JN,LWR,null,null
ALNIYA,ALNI,23.2495° N,75.0407° E
ALTAGRAM,ATM,26.6105° N,88.9436° E
ALUABARI ROAD,AUB,null,null
ALUVA,AWY,10.1004° N,76.3570° E
ALWAL,ALW,17.4967° N,78.5066° E
ALWAR,AWR,27.5530° N,76.6346° E
ALWAR TIRUNAGRI,AWT,8.6052° N,77.9439° E
AMAGURA,AGZ,19.0687° N,82.1474° E
AMALNER,AN,21.0419° N,75.0582° E
AMALPUR,AMLP,25.3180° N,86.4934° E
AMALSAD,AML,20.8176° N,72.9549° E
AMAN VADI,AMW,null,null
AMARAVATHI CLNY,AVC,14.4988° N,75.8520° E
AMARAVILA,AMVA,8.3885° N,77.1054° E
AMARDA ROAD,ARD,21.7288° N,87.1011° E
AMARGARH,AGR,31.1279° N,76.0718° E
AMARGOL,AGL,15.3995° N,75.0830° E
AMARPUR JORASI,APJ,28.0169° N,76.0609° E
AMARPURA,APA,28.5614° N,75.2204° E
AMARPURA RATHAN,AMPR,29.4119° N,74.0083° E
AMARSAR,AXA,27.3688° N,75.8331° E
AMARUN,ARNB,23.3658° N,87.9359° E
AMAUSI,AMS,26.7674° N,80.8841° E
AMB  ANDAURA,AADR,31.6705° N,76.1104° E
AMBAGAON,AGB,19.1132° N,73.7327° E
AMBALA CANT JN,UMB,30.3378° N,76.8279° E
AMBALA CITY,UBC,30.3752° N,76.7821° E
AMBALAPPUZHA,AMPA,9.3787° N,76.3628° E
AMBALE,ABLE,30.3752° N,76.7821° E
AMBALGRAM,ABGM,23.6929° N,88.0790° E
AMBARI,ABX,30.4912° N,77.8167° E
AMBARI FALAKATA,ABFC,26.6090° N,88.4864° E
AMBARNATH,ABH,19.1825° N,73.1926° E
AMBASA,ABSA,23.9248° N,91.8465° E
AMBASAMUDRAM,ASD,8.7093° N,77.4530° E
AMBATTUR,ABU,13.1077° N,80.1522° E
AMBATURAI,ABI,10.2760° N,77.9203° E
AMBAV,AAV,17.0523° N,73.5653° E
AMBEWADI,AVA,20.0337° N,72.7245° E
AMBIAPUR,AAP,23.1294° N,83.1861° E
AMBIKA KALNA,ABKA,23.2249° N,88.3482° E
AMBIKA ROHINA,AMBR,18.4422° N,76.9444° E
AMBIKAPUR,ABKP,23.1294° N,83.1861° E
AMBIVLI,ABY,19.2651° N,73.1724° E
AMBLI ROAD,ABD,23.0535° N,72.4934° E
AMBLIYASAN,UMN,23.4513° N,72.4229° E
AMBODALA,AMB,19.8344° N,83.4577° E
AMBUR,AB,12.7802° N,78.7177° E
AMDARA,UDR,24.1099° N,80.5841° E
AMETHI,AME,26.1541° N,81.8142° E
AMGAON,AGN,21.3684° N,80.3798° E
AMGHATA,AHT,23.4131° N,88.4234° E
AMGURI,AGI,26.8102° N,94.5238° E
AMHERA,ARH,29.2623° N,78.2839° E
AMILA,AMD,26.1817° N,83.5097° E
AMIN,AMIN,29.9049° N,76.8692° E
AMLA JN,AMLA,21.9195° N,78.1228° E
AMLAI,AAL,23.1988° N,81.5871° E
AMLAKHURD,AMX,21.5005° N,76.6521° E
AMLETHA,ALE,21.8317° N,73.4121° E
AMLI,AMLI,20.2910° N,73.0228° E
AMLORI SARSAR,ALS,26.2702° N,84.3516° E
AMMANABROLU,ANB,15.5867° N,80.1456° E
AMMANUR,AMNR,13.0447° N,79.6755° E
AMMAPET,AMT,10.7971° N,79.3157° E
AMMASANDRA,AMSA,13.2689° N,76.7149° E
AMMUGUDA,AMQ,17.4864° N,78.5271° E
AMNAPUR,ANQ,17.0464° N,74.4642° E
AMOD,AMOD,21.9942° N,72.8693° E
AMOLWA,AMO,27.1977° N,84.4881° E
AMONI,AONI,26.4519° N,92.9101° E
AMRAVATI,AMI,20.9320° N,77.7523° E
AMRELI,AE,21.6015° N,71.2204° E
AMRELI PARA,AEP,null,null
AMRITAPURA,AMC,9.0949° N,76.4896° E
AMRITSAR JN,ASR,31.6332° N,74.8672° E
AMRITVEL,AVL,21.3962° N,71.3594° E
AMROHA,AMRO,28.9052° N,78.4673° E
ANAIMALAI ROAD,ANM,null,null
ANAKAPALLE,AKP,17.6896° N,83.0024° E
ANAKHI,ANKI,22.0751° N,72.8539° E
ANAKHOL,AKL,22.3055° N,73.2655° E
ANAND JN,ANND,22.5608° N,72.9667° E
ANAND NAGAR,ANDN,27.1023° N,83.2759° E
ANAND VIHAR,ANVR,28.6502° N,77.3027° E
ANAND VIHAR TRM,ANVT,28.6488° N,77.3154° E
ANANDAPURAM,ANF,17.9054° N,83.3629° E
ANANDPUR SAHIB,ANSB,31.2344° N,76.5055° E
ANANDTANDAVPUR,ANP,11.1446° N,79.6586° E
ANANGUR,ANU,11.3892° N,77.8288° E
ANANT PAITH,AEH,25.9554° N,78.2766° E
ANANTAPUR,ATP,14.6819° N,77.6006° E
ANANTARAJUPET,ANE,14.0000° N,79.3024° E
