Station Names,Station Codes,Latitude,Longitude
G POCHAMPALLI,GDPL,17.5688° N,78.4803° E
G.RAMACHANDRAPU,GRCP,null,null
GACHHIPURA,GCH,26.9545° N,74.4540° E
GADADHARPUR,GHLE,24.0144° N,87.6920° E
GADAG JN,GDG,15.4367° N,75.6425° E
GADARWARA,GAR,22.9225° N,78.7834° E
GADHADA SWAMI,GDSN,21.9666° N,71.5747° E
GADHAKDA,GKD,21.2584° N,71.4017° E
GADHWALA,GDW,27.9672° N,73.4593° E
GADIGANURU,GNR,15.2062° N,76.5893° E
GADRA ROAD,GDD,25.7427° N,70.6425° E
GADWAL,GWD,16.2337° N,77.8081° E
GAGANAPOSH,GAX,21.9046° N,85.0415° E
GAGARIYA,GGY,25.7176° N,70.7808° E
GAHLOTA,GLTA,26.7000° N,74.9735° E
GAHMAR,GMR,25.4984° N,83.8101° E
GAHNDRAN,GNZ,31.1175° N,75.4240° E
GAHRI BHAGI,GHB,30.1149° N,74.9603° E
GAIGAON,GAO,20.7259° N,76.8916° E
GAINJAHWA,GAW,27.4542° N,82.2502° E
GAINSARI JN,GIR,27.5271° N,82.5472° E
GAIPURA,GAE,25.1644° N,82.4035° E
GAISAL,GIL,26.1845° N,88.0893° E
GAJAPATINAGARAM,GPI,18.2798° N,83.3333° E
GAJARA BAHARA,GAJB,24.0624° N,82.2855° E
GAJJELAKONDA,GJJ,15.7519° N,79.3914° E
GAJNER,GJN,27.9499° N,73.0464° E
GAJRAULA JN,GJL,28.8348° N,78.2492° E
GAJSINGHPUR,GJS,29.6598° N,73.4386° E
GAJULAGUDEM,GLE,17.6112° N,80.6593° E
GAJUWALA,GJW,17.6851° N,83.2035° E
GALAN,GAA,20.5998° N,75.2698° E
GALGALIA,GAGA,26.5265° N,88.1157° E
GALSI,GLI,23.3385° N,87.6852° E
GALUDIH,GUD,23.7893° N,86.0695° E
GALVAV,GVV,21.4915° N,70.1984° E
GAMBHIRI ROAD,GRF,24.6936° N,74.6705° E
GAMBHIRPURA,GHI,22.3361° N,73.5226° E
GAMHARIA,GMH,22.8151° N,86.1029° E
GANAGAPUR ROAD,GUR,null,null
GANAUR,GNU,29.1355° N,77.0206° E
GANDEVI,GNV,20.8077° N,72.9992° E
GANDHIDHAM BG,GIMB,23.0684° N,70.1477° E
GANDHIGRAM,GG,10.2817° N,77.9296° E
GANDHINAGAR CAP,GNC,null,null
GANDHINAGAR JPR,GADJ,26.8739° N,75.7991° E
GANDHIPURAM HAL,GHPU,null,null
GANDHISMARAK RD,GSX,null,null
GANDHISMRITI,GNST,28.6019° N,77.2144° E
GANESHGANJ,GAJ,25.4764° N,76.3956° E
GANGA DHAM,GADM,18.4789° N,73.8750° E
GANGADHARA,GGAR,18.5792° N,79.0087° E
GANGADHARPUR,GNGD,22.7560° N,88.2193° E
GANGAGANJ,GANG,26.7227° N,81.1975° E
GANGAGHAT,GAG,26.5029° N,80.3777° E
GANGAIKONDAN,GDN,8.8585° N,77.7788° E
GANGAJHARI,GJ,21.4429° N,80.0588° E
GANGAKHER,GNH,18.9664° N,76.7481° E
GANGANAPALLE,GGNP,14.4620° N,78.7193° E
GANGANI,GNNA,26.5022° N,73.2146° E
GANGAPUR CITY,GGC,26.4833° N,76.7340° E
GANGARAMPUR,GRMP,25.4009° N,88.5324° E
GANGATIKURI,GGLE,23.7115° N,88.0986° E
GANGATOLIA,GNGT,null,null
GANGAULI,GNGL,25.6838° N,84.1881° E
GANGAVATHI,GGVT,15.4319° N,76.5315° E
GANGAYAPALLE,GPY,15.1797° N,78.8966° E
GANGINENI,GNN,16.7542° N,80.5230° E
GANGIWARA,GNW,22.0946° N,78.8517° E
GANGNAPUR,GGP,23.1294° N,88.6410° E
GANGPUR,GRP,23.2177° N,87.9175° E
GANGRAR,GGR,25.0617° N,74.6235° E
GANGSAR JAITU,GJUT,30.4460° N,74.8787° E
GANGUVADA,GVA,18.6664° N,84.1079° E
GANJ BASODA,BAQ,23.8494° N,77.9371° E
GANJ DUNDWARA,GWA,27.7345° N,78.9373° E
GANJ KHAWAJA,GAQ,25.2736° N,83.1839° E
GANJAM,GAM,19.5860° N,84.6897° E
GANJMURADABAD,GJMB,26.9654° N,80.1814° E
GANKAR,GALE,24.4120° N,88.0858° E
GANKHERA P H,GKT,null,null
GANNAGHATTA,GJT,null,null
GANNAVARAM,GWM,16.5419° N,80.8050° E
GANPATPURA,GNPT,22.2672° N,73.0759° E
GAREA BIHAR,GRBH,null,null
GARH BANAILI,GBN,null,null
GARH BARUARI,GEB,26.0196° N,86.6055° E
GARH DHRUBESWAR,GRB,23.5091° N,86.6171° E
GARH JAIPUR,GUG,26.7822° N,76.1291° E
GARHA GOODS SHE,GGGS,null,null
GARHARA,GHX,25.4631° N,86.0044° E
GARHBETA,GBA,22.8631° N,87.3538° E
GARHI HARSARU,GHH,28.4497° N,76.9326° E
GARHI MANIKPUR,GRMR,25.7767° N,81.4144° E
GARHI SANDRA,GIS,null,null
GARHMAU,GRM,25.5015° N,78.6613° E
GARHMUKTESAR,GMS,28.7892° N,78.0823° E
GARHMUKTESAR BR,GGB,null,null
GARHSHANKAR,GSR,31.2175° N,76.1407° E
GARHWA,GHQ,24.1549° N,83.7996° E
GARIA,GIA,22.4660° N,88.3928° E
GARIFA,GFAE,22.9034° N,88.4149° E
GARIVIDI,GVI,18.2858° N,83.5363° E
GARJEE,JRJE,23.4322° N,91.4967° E
GARKHA,GRAK,25.8309° N,84.8615° E
GARLA,GLA,17.4880° N,80.1428° E
GARLADINNE,GDE,14.8256° N,77.5935° E
GARMADI,GM,null,null
GARNA SAHIB,GSB,31.7747° N,75.6642° E
GAROPARA,GRU,26.3396° N,89.8294° E
GAROT,GOH,24.3281° N,75.6499° E
GARPOS,GPH,22.1329° N,84.4375° E
GARRA P H,GRHX,null,null
GARSANDA HALT,GSDH,null,null
GARUDUBILLI,GRBL,18.7116° N,83.4924° E
GARWA ROAD,GHD,24.2147° N,83.8854° E
GATE VANAMPALLI,GVP,null,null
GATORA,GTW,32.2743° N,75.5757° E
GATRA P H,GRJ,null,null
GAUDGAON.,GDGN,28.4595° N,77.0266° E
GAUR,GAUR,24.8748° N,88.1340° E
GAURA,GRX,31.4117° N,75.3427° E
GAURI BAZAR,GB,26.5959° N,83.6707° E
GAURIBIDANUR,GBD,13.6183° N,77.5146° E
GAURIGANJ,GNG,26.2073° N,81.6823° E
GAURIPUR,GUP,26.0916° N,89.9655° E
GAURIYAMAU,GMU,26.7559° N,81.8436° E
GAUSHALA,GWS,29.4968° N,76.8064° E
GAUTAMDHARA,GATD,23.3500° N,85.6325° E
GAUTAMPURA ROAD,GPX,23.0269° N,75.5286° E
GAUTAMSTHAN,GTST,25.7609° N,84.6741° E
GAVADAKA,GAV,21.5460° N,71.1612° E
GAWNAHA,GAH,27.2869° N,84.5196° E
GAYA JN,GAYA,24.8033° N,84.9997° E
GAYABARI,GBE,26.8584° N,88.3156° E
GAZIKA,GZKA,30.6403° N,75.4461° E
GAZOLE,GZO,25.2109° N,88.1924° E
GAZULAPALLI,GZL,15.4017° N,78.6186° E
GEDE,GEDE,23.4921° N,88.7875° E
GEGAL AKHRI,GEK,26.5421° N,74.7777° E
GEONG,GXG,29.8131° N,76.4708° E
GERATPUR,GER,22.9194° N,72.6499° E
GERITA KOLVADA,GTKD,22.9194° N,72.6499° E
GETOR JAGATPURA,GTJT,22.9194° N,72.6499° E
GEVARAI HALT,GOI,22.9194° N,72.6499° E
GEVRA ROAD,GAD,22.9194° N,72.6499° E
GHADELA,GELA,22.9194° N,72.6499° E
GHAGGHAR,GHG,22.9194° N,72.6499° E
GHAGHARA CHAT,GHT,22.9194° N,72.6499° E
GHAGHRA,GHAA,22.9194° N,72.6499° E
GHAGWAL,GHGL,22.9194° N,72.6499° E
GHAI KALAN,GKX,22.9194° N,72.6499° E
GHALLU,GHLU,22.9194° N,72.6499° E
GHANAULI,GANL,22.9194° N,72.6499° E
GHANPUR,GNP,22.9194° N,72.6499° E
GHANSORE,GNS,22.9194° N,72.6499° E
GHANTA,GTH,22.9194° N,72.6499° E
GHANTIKHAL NDPR,GHNH,22.9194° N,72.6499° E
GHANTOLI,GHTI,22.9194° N,72.6499° E
GHARAUNDA,GRA,22.9194° N,72.6499° E
GHARYALA,GYL,22.9194° N,72.6499° E
GHASHYAMGADH RD,GSY,22.9194° N,72.6499° E
GHASO,GSO,22.9194° N,72.6499° E
GHASPURA,GPA,22.9194° N,72.6499° E
GHAT KOPAR,GC,22.9194° N,72.6499° E
GHAT NANDUR,GTU,22.9194° N,72.6499° E
GHATAKA VARANA,GKB,22.9194° N,72.6499° E
GHATAMPUR,GTM,22.9194° N,72.6499° E
GHATERA,GEA,22.9194° N,72.6499° E
GHATIGAON,GHAI,22.9194° N,72.6499° E
GHATKESAR,GT,22.9194° N,72.6499° E
GHATLA,GAL,22.9194° N,72.6499° E
GHATPINDRAI,GPC,22.9194° N,72.6499° E
GHATPRABHA,GPB,22.9194° N,72.6499° E
GHATPURI,GTP,22.9194° N,72.6499° E
GHATSILA,GTS,22.9194° N,72.6499° E
GHATWAD,GTWD,22.9194° N,72.6499° E
GHAUNSPUR,GPW,22.9194° N,72.6499° E
GHAUSGANJ,GSGJ,22.9194° N,72.6499° E
GHAZIABAD,GZB,22.9194° N,72.6499° E
GHAZIPUR CITY,GCT,22.9194° N,72.6499° E
GHAZIPUR GHAT,GZT,22.9194° N,72.6499° E
GHELDA,GLD,22.9194° N,72.6499° E
GHEVRA,GHE,22.9194° N,72.6499° E
GHIALA,GILA,22.9194° N,72.6499° E
GHOGA,GGA,22.9194° N,72.6499° E
GHOGARDIHA,GGH,22.9194° N,72.6499° E
GHOGRAPUR,GOE,22.9194° N,72.6499° E
GHOKSADANGA,GDX,22.9194° N,72.6499° E
GHOLVAD,GVD,22.9194° N,72.6499° E
GHORADONGRI,GDYA,22.9194° N,72.6499° E
GHORAGHATA,GGTA,22.9194° N,72.6499° E
GHORASAHAN,GRH,22.9194° N,72.6499° E
GHORAWADI,GRWD,22.9194° N,72.6499° E
GHORMARA,GRMA,22.9194° N,72.6499° E
GHORPURI,GPR,22.9194° N,72.6499° E
GHOSI,GSI,22.9194° N,72.6499° E
GHOSIPURA,GOPA,22.9194° N,72.6499° E
GHOSRANA,GOS,22.9194° N,72.6499° E
GHOSUNDA,GSD,22.9194° N,72.6499° E
GHOTI,GO,22.9194° N,72.6499° E
GHUGHULI,GH,22.9194° N,72.6499° E
GHUGUS,GGS,22.9194° N,72.6499° E
GHUM,GHUM,22.9194° N,72.6499° E
GHUMASAN,GUS,22.9194° N,72.6499° E
GHUNAS,GUNS,22.9194° N,72.6499° E
GHUNGHUTI,GGT,22.9194° N,72.6499° E
GHUTAI,GTI,22.9194° N,72.6499° E
GHUTIARI SHARIF,GOF,22.9194° N,72.6499° E
GHUTKU,GTK,22.9194° N,72.6499° E
GIDAM,GIZ,22.9194° N,72.6499° E
GIDARPINDI,GOD,22.9194° N,72.6499° E
GIDDALUR,GID,22.9194° N,72.6499° E
GIDDARBAHA,GDB,22.9194° N,72.6499° E
GIDHAUR,GHR,22.9194° N,72.6499° E
GIDNAHALI,GDH,22.9194° N,72.6499° E
GIDNI,GII,22.9194° N,72.6499° E
GILL,GILL,22.9194° N,72.6499° E
GINIGERA,GIN,22.9194° N,72.6499° E
GIR GADHARA,GEG,22.9194° N,72.6499° E
GIR HADMATIYA,GRHM,22.9194° N,72.6499° E
GIRDHARPUR,GIW,22.9194° N,72.6499° E
GIRIDIH,GRD,22.9194° N,72.6499° E
GIRIMAIDAN,GMDN,22.9194° N,72.6499° E
GIRWAR,GW,22.9194° N,72.6499° E
GOALDIH,GADH,22.9194° N,72.6499° E
GOALPARA TOWN,GLPT,22.9194° N,72.6499° E
GOBARDANGA,GBG,22.9194° N,72.6499° E
GOBARWAHI,GBRI,22.9194° N,72.6499° E
GOBINDPUR DUGLI,GOX,22.9194° N,72.6499° E
GODAMGURA,GDQ,22.9194° N,72.6499° E
GODAVARI,GVN,22.9194° N,72.6499° E
GODBHAGA,GBQ,22.9194° N,72.6499° E
GODHA,GDHA,22.9194° N,72.6499° E
GODHANESHWAR,GS,22.9194° N,72.6499° E
GODHRA JN,GDA,22.9194° N,72.6499° E
GOGAMERI,GAMI,22.9194° N,72.6499° E
GOGAMUKH,GOM,22.9194° N,72.6499° E
GOGI POTHIA,GPE,22.9194° N,72.6499° E
GOHAD ROAD,GOA,22.9194° N,72.6499° E
GOHANA,GHNA,22.9194° N,72.6499° E
GOHLWAR VARPAL,GRV,22.9194° N,72.6499° E
GOHPUR,GPZ,22.9194° N,72.6499° E
GOILKERA,GOL,22.9194° N,72.6499° E
GOINDWAL SAHIB,GWSB,22.9194° N,72.6499° E
GOJAPUR SANKDHA,GPS,22.9194° N,72.6499° E
GOJHARIYA,GJR,22.9194° N,72.6499° E
GOKAK ROAD,GKK,22.9194° N,72.6499° E
GOKARNA ROAD,GOK,22.9194° N,72.6499° E
GOKULPUR,GKL,22.9194° N,72.6499° E
GOLA GOKARANATH,GK,22.9194° N,72.6499° E
GOLA ROAD,GRE,22.9194° N,72.6499° E
GOLABAI,GLBA,22.9194° N,72.6499° E
GOLAGHAT,GLGT,22.9194° N,72.6499° E
GOLAKGANJ,GKJ,22.9194° N,72.6499° E
GOLANA HALT,GLNA,22.9194° N,72.6499° E
GOLANTHRA,GTA,22.9194° N,72.6499° E
GOLAPATTI,GTY,22.9194° N,72.6499° E
GOLDINGANJ,GJH,22.9194° N,72.6499° E
GOLE,GOLE,22.9194° N,72.6499° E
GOLEHWALA,GHA,22.9194° N,72.6499° E
GOLHALLI,GHL,22.9194° N,72.6499° E
GOLLAPALLY,GLY,22.9194° N,72.6499° E
GOLLAPROLU,GLP,22.9194° N,72.6499° E
GOLSAR,GOZ,22.9194° N,72.6499° E
GOMANGALAM,GMGM,22.9194° N,72.6499° E
GOMATI NAGAR,GTNR,22.9194° N,72.6499° E
GOMTA,GTT,22.9194° N,72.6499° E
GOND UMRI P H,GMI,22.9194° N,72.6499° E
GONDA JN,GD,22.9194° N,72.6499° E
GONDA KACHAHRI,GDK,22.9194° N,72.6499° E
GONDAL,GDL,22.9194° N,72.6499° E
GONDIA JN,G,22.9194° N,72.6499° E
GONDWANAVISAPUR,GNVR,22.9194° N,72.6499° E
GONEANA B JAGTA,GNA,22.9194° N,72.6499° E
GONGLE,GNL,22.9194° N,72.6499° E
GOOTY,GY,22.9194° N,72.6499° E
GOP JAM,GOP,22.9194° N,72.6499° E
GOP MOTA,GPMA,22.9194° N,72.6499° E
GOPAL NAGAR,GN,22.9194° N,72.6499° E
GOPALAPATNAM,GPT,22.9194° N,72.6499° E
GOPALGANJ,GOPG,22.9194° N,72.6499° E
GOPALPUR,GPPR,22.9194° N,72.6499° E
GOPALPUR BALKDA,GBK,22.9194° N,72.6499° E
GOPALPURGRAM,GPLG,22.9194° N,72.6499° E
GOPINATHPUR,GOR,22.9194° N,72.6499° E
GORA GHUMA,GGM,22.9194° N,72.6499° E
GORAKHNATH,GRKN,22.9194° N,72.6499° E
GORAKHPUR CANT,GKC,22.9194° N,72.6499° E
GORAKHPUR JN,GKP,22.9194° N,72.6499° E
GORAM GHAT,GGO,22.9194° N,72.6499° E
GORAPUR,GPJ,22.9194° N,72.6499° E
GORATIYA,GRTA,22.9194° N,72.6499° E
GORAUL,GRL,22.9194° N,72.6499° E
GORAYA,GRY,22.9194° N,72.6499° E
GOREGAON ROAD,GNO,22.9194° N,72.6499° E
GOREGOAN,GMN,22.9194° N,72.6499° E
GORESWAR,GVR,22.9194° N,72.6499° E
GORINJA,GRJA,22.9194° N,72.6499° E
GORINTADA,GOTD,22.9194° N,72.6499° E
GORIYAN,GIO,22.9194° N,72.6499° E
GORUMAHISANI,GUMI,22.9194° N,72.6499° E
GOSALPUR,GSPR,22.9194° N,72.6499° E
GOSHAINGANJ,GGJ,22.9194° N,72.6499° E
GOSSAIGAON HAT,GOGH,22.9194° N,72.6499° E
GOT,GOT,22.9194° N,72.6499° E
GOTAN,GOTN,22.9194° N,72.6499° E
GOTHAJ,GTE,22.9194° N,72.6499° E
GOTHANGAM,GTX,22.9194° N,72.6499° E
GOTLAM,GTLM,22.9194° N,72.6499° E
GOTRA HALT,GTRA,22.9194° N,72.6499° E
GOUR MALDA,GZM,22.9194° N,72.6499° E
GOURANDI,GNI,22.9194° N,72.6499° E
GOURINATHDHAM,GTD,22.9194° N,72.6499° E
GOVANDAI,GV,22.9194° N,72.6499° E
GOVERDHAN,GDO,22.9194° N,72.6499° E
GOVINDGARH,GVG,22.9194° N,72.6499° E
GOVINDGARH KHKR,GGKR,22.9194° N,72.6499° E
GOVINDGARH MALK,GND,22.9194° N,72.6499° E
GOVINDI MARWAR,GVMR,22.9194° N,72.6499° E
GOVINDNAGAR,GOVR,22.9194° N,72.6499° E
GOVINDPUR ROAD,GBX,22.9194° N,72.6499° E
GOVINDPURI,GOY,22.9194° N,72.6499° E
GOWDAVALLI,GWV,22.9194° N,72.6499° E
GUA,GUA,22.9194° N,72.6499° E
GUBBI,GBB,22.9194° N,72.6499° E
GUDAPARTI,GDPT,22.9194° N,72.6499° E
GUDGERI,GDI,22.9194° N,72.6499° E
GUDHA,GA,22.9194° N,72.6499° E
GUDIMETTA,GMA,15.4243° N,79.0154° E
GUDIPUDI,GPDE,16.4200° N,80.2161° E
GUDIVADA JN,GDV,null,null
GUDIYATTAM,GYM,12.9428° N,78.8682° E
GUDLAVALLERU,GVL,16.3487° N,81.0492° E
GUDMA,GDM,22.0944° N,79.7685° E
GUDRU HALT,GDU,22.2711° N,80.1162° E
GUDUM P H,GUDM,null,null
GUDUPULLI,GDP,12.7860° N,78.2808° E
GUDUR JN,GDR,14.1487° N,79.8456° E
GUDUVANCHERI,GI,12.8439° N,80.0597° E
GUINDY,GDY,13.0067° N,80.2206° E
GUIR SARANGA,GSQ,23.1263° N,87.7534° E
GUJHANDI,GJD,24.5010° N,85.4659° E
GUJJANGIVALASA,GUL,18.2486° N,83.4830° E
GUJRAN BALWA,GLBN,29.4065° N,77.3073° E
GULABHGANJ,GLG,23.6810° N,77.9096° E
GULABPURA,GBP,25.9032° N,74.6605° E
GULAOTHI,GLH,28.5902° N,77.7936° E
GULAPALYAMU,GPU,null,null
GULARBHOJ,GUB,29.0918° N,79.3156° E
GULDHAR,GUH,28.7037° N,77.4556° E
GULEDAGUDDA RD,GED,16.0674° N,75.6949° E
GULER,GULR,32.0017° N,76.1392° E
GULLAGUDA,GGD,17.4167° N,78.0320° E
GULLIPADU,GLU,17.4097° N,82.6338° E
GULMA,GLMA,25.7513° N,86.3858° E
GULVANCHI,GLV,17.1718° N,75.0786° E
GULZARBAGH,GZH,25.6096° N,85.2035° E
GUMA,GUMA,22.8134° N,88.6072° E
GUMADA,GMDA,18.8789° N,83.4710° E
GUMANI,GMAN,24.7960° N,87.7886° E
GUMGAON,GMG,21.0151° N,79.0002° E
GUMIA,GMIA,23.8081° N,85.8230° E
GUMMAN,GMM,24.7158° N,85.2761° E
GUMMANDEV,GME,21.6977° N,73.1184° E
GUMMIDIPUNDI,GPD,13.4080° N,80.1147° E
GUMTHAL,GTF,28.4901° N,78.7660° E
GUMTO,GMTO,27.1440° N,93.7876° E
GUNA,GUNA,24.6324° N,77.3002° E
GUNADALA,GALA,16.5233° N,80.6688° E
GUNDA ROAD JN,GDJ,15.1642° N,76.3824° E
GUNDARDEHI,GDZ,20.9470° N,81.2887° E
GUNDLA KAMMA,GKM,null,null
GUNDRATIMADUGU,GUU,17.5335° N,80.0828° E
GUNERU BAMORI,GVB,24.4621° N,78.0629° E
GUNGRANA,GNGR,30.7152° N,75.8156° E
GUNJA,GUJ,null,null
GUNJARIA,GEOR,26.2180° N,88.1317° E
GUNJI,GNJ,30.1804° N,80.8565° E
GUNTAKAL JN,GTL,15.1756° N,77.3667° E
GUNTAKODURU,GUK,16.4584° N,81.0748° E
GUNTUR JN,GNT,null,null
GUNUPUR,GNPR,19.0755° N,83.8128° E
GUPTIPARA,GPAE,23.2055° N,88.4050° E
GUR MARKET,GRMT,null,null
GURAMKHEDI,GMD,22.6845° N,78.0609° E
GURAP,GRAE,23.0348° N,88.1218° E
GURARU,GRRU,24.8108° N,84.7916° E
GURDASPUR,GSP,32.0414° N,75.4031° E
GURGAON,GGN,28.4595° N,77.0266° E
GURHA KEMLA,GRKA,null,null
GURHANWA,GRNA,26.7391° N,85.2347° E
GURHI,GUX,25.9045° N,87.4926° E
GURIYA,GRI,25.2754° N,73.0730° E
GURLA,GQL,18.2032° N,83.4483° E
GURLI RAMGARHWA,GRRG,27.1842° N,83.7700° E
GURMURA,GMX,24.3546° N,83.0480° E
GURNAY,GRN,null,null
GURPA,GAP,24.5625° N,85.2968° E
GURRA,GRO,22.6316° N,77.8667° E
GURSAHAIGANJ,GHJ,27.1170° N,79.7304° E
GURSAR SHNEWALA,GSW,null,null
GURTHURI,GRZ,null,null
GURU HARSAHAI,GHS,30.7058° N,74.4115° E
GURU T B NAGAR,GTBN,19.0380° N,72.8644° E
GURUDAS NAGAR,GURN,22.1997° N,88.2158° E
GURUDIJHATIA,GJTA,20.5633° N,85.8051° E
GURUJALA,GZA,16.5172° N,77.3267° E
GURUSAR SUTLANI,GRS,31.5934° N,74.6791° E
GURUVAYUR,GUV,10.5946° N,76.0369° E
GUSKARA,GKH,23.4882° N,87.7443° E
GUWAHATI,GHY,26.1445° N,91.7362° E
GUWARIGHAT,GRG,23.1100° N,79.9277° E
GWALIOR,GWO,26.2183° N,78.1828° E
GWALIOR,GWL,26.2183° N,78.1828° E
GYANPUR ROAD,GYN,25.2798° N,82.4277° E
GZ SANDHWAN,GZS,null,null
H NIZAMUDDIN,NZM,28.5889° N,77.2534° E
H SAHIB NANDED,NED,19.1602° N,77.3102° E
HABAIPUR,HWX,25.9402° N,92.8203° E
HABANGHATA,HHT,null,null
HABIBGANJ,HBJ,23.2218° N,77.4392° E
HABIBPUR,HBE,23.1698° N,88.5160° E
HABIBWALA,HBW,30.9427° N,74.5170° E
HABRA,HB,22.8408° N,88.6535° E
HADALA BHAL,HLB,22.5024° N,72.1372° E
HADALA KHARI,HAK,null,null
HADAPSAR,HDP,18.5089° N,73.9259° E
HADDINAGUNDU,HDD,null,null
HADGAON ROAD,HDGR,null,null
HADIAYA,HYA,30.3289° N,75.5102° E
HADMADIYA,HRM,22.4296° N,70.4848° E
HADMATIYA JN,HM,22.4285° N,70.4710° E
HADOBHANGI,HBF,18.8150° N,83.9440° E
HADYAL,HYL,28.4912° N,75.1998° E
HAFIZPETA,HFZ,17.4842° N,78.3603° E
HAFIZPUR,HZR,28.6722° N,77.7867° E
HAGARI,HGI,15.0456° N,76.2074° E
HAIAGHAT,HYT,26.0778° N,85.8973° E
HAIBARGAON,HBN,26.3443° N,92.6810° E
HAIDARNAGAR,HDN,24.4870° N,83.9447° E
HAIDERGARH,HGH,26.6046° N,81.3633° E
HAILAKANDI,HKD,24.6811° N,92.5638° E
HAJIGARH,HIH,23.0068° N,88.1211° E
HAJIPUR JN,HJP,25.7023° N,85.2155° E
HAKIMPUR,HKP,31.1173° N,75.9253° E
HALAKATTA,HLKT,17.0172° N,77.0066° E
HALBARGA,HBU,17.9948° N,77.3253° E
HALDAUR,HLDR,29.2803° N,78.2846° E
HALDHARPUR,HLP,25.9664° N,83.6960° E
HALDI ROAD,HLDD,29.0392° N,79.4594° E
HALDIA,HLZ,22.0627° N,88.0833° E
HALDIBARI,HDB,26.3345° N,88.7807° E
HALDIPADA,HIP,21.5754° N,87.0018° E
HALDITA BIHAR,HOD,26.1655° N,87.3589° E
HALDWANI,HDW,29.2183° N,79.5130° E
HALGERI,HLGR,14.2952° N,74.8396° E
HALISAHAR,HLR,null,null
HALLIGUDI,HAG,15.4016° N,75.8334° E
HALUDPUKUR,HLD,null,null
HALVAD,HVD,23.0137° N,71.1824° E
HAMARAPUR,HMRR,19.6975° N,72.9638° E
HAMARPUR,HMPR,31.6862° N,76.5213° E
HAMILTONGANJ,HOJ,26.6866° N,89.4246° E
HAMIRA,HMR,31.4520° N,75.4374° E
HAMIRGARH,HMG,25.1882° N,74.6269° E
HAMIRHATI,HAM,23.3273° N,87.3488° E
HAMIRPUR ROAD,HAR,25.9548° N,80.1526° E
HAMPAPATNAM,HPM,15.1171° N,76.2537° E
HAMPAPURA,HPA,11.9995° N,76.7207° E
HAMRE,HME,34.2115° N,74.5108° E
HAMSAVARAM,HVM,17.2947° N,82.4942° E
HANAKERE,HNK,12.5647° N,76.9809° E
HANDAPA,HNPA,20.9531° N,84.6884° E
HANDIA KHAS,HDK,25.3568° N,82.1914° E
HANSARA,HNR,27.5550° N,95.5407° E
HANSDIHA,HSDA,24.6000° N,87.0799° E
HANSI,HNS,29.0973° N,75.9638° E
HANSIAWAS,HSWS,28.8330° N,75.4170° E
HANUMAN STATION,HNMN,26.9246° N,73.2845° E
HANUMANAHALLI,HNH,12.6280° N,77.4110° E
HANUMANGARH JN,HMH,29.5815° N,74.3294° E
HANUMANGARHTOWN,HMO,29.5815° N,74.3294° E
HANUMAPURA,HPH,14.2066° N,75.5655° E
HANWANT,HWT,26.2965° N,73.0444° E
HAPA,HAPA,22.4686° N,70.1175° E
HAPA ROAD,HPRD,23.5429° N,72.9411° E
HAPUR,HPU,28.7306° N,77.7759° E
HARANA KALAN,HNN,28.9451° N,77.0388° E
HARANGAJAO,HJO,25.1172° N,92.8573° E
HARANGUL,HGL,18.9061° N,76.6507° E
HARANYA KHERI,HKH,22.5846° N,75.7772° E
HARAPANAHALLI,HPHI,14.7810° N,75.9870° E
HARAUNI,HRN,null,null
HARCHANDPUR,HCP,26.3442° N,81.1665° E
HARDA,HD,22.3467° N,77.0890° E
HARDAS BIGHA,HDE,25.4984° N,85.3278° E
HARDATTPUR,HDT,25.2716° N,82.9004° E
HARDOI,HRI,27.3965° N,80.1250° E
HARDORAWAL,HDWL,31.9193° N,74.9289° E
HARDUA,HDU,24.7692° N,81.1913° E
HARDUAGANJ,HGJ,27.9451° N,78.1550° E
HARGAON,HA,27.7711° N,80.7270° E
HARHRAS QILAH,HRF,27.5948° N,78.0582° E
HARICHANDANPUR,HCNR,21.3378° N,85.7910° E
HARIDASPUR,HDS,20.7490° N,86.1167° E
HARIDWAR JN,HW,null,null
HARIHAR,HRR,14.5152° N,75.8072° E
HARINAGAR,HIR,28.6249° N,77.1109° E
HARINSING,HRNS,24.2391° N,87.5741° E
HARIPAL,HPL,22.8172° N,88.1047° E
HARIPPAD,HAD,9.2799° N,76.4592° E
HARIPUR,HP,23.6773° N,87.1935° E
HARISCHANDRPUR,HCR,25.4068° N,87.8669° E
HARISHANKER RD,HSK,20.6263° N,82.7657° E
HARISHPUR,HHP,23.6039° N,87.1797° E
HARISINGA,HRSN,26.7210° N,91.9906° E
HARKIA KHAL,HKL,24.3630° N,74.9190° E
HARLAPUR,RLP,15.4226° N,75.7735° E
HARLAYA,HRLI,26.8529° N,72.6979° E
HARMUTI,HMY,27.1393° N,93.9292° E
HARNAHALLI,HNHL,14.0416° N,75.4607° E
HARNAUT,HRT,25.3692° N,85.5301° E
HARPALGANJ,HRPG,25.9472° N,82.4050° E
HARPALPUR,HPP,25.2908° N,79.3282° E
HARPALU,HR,28.5590° N,75.4534° E
HARRAD,HRV,23.1610° N,81.9042° E
HARRAWALA,HRW,30.2553° N,78.0972° E
HARRI,HRB,26.1793° N,86.5022° E
HARSAR DEHRI,HRDR,32.1046° N,76.0381° E
HARSAULI,HSI,27.8622° N,76.6211° E
HARSINGPUR GOBA,HSY,27.4300° N,79.4985° E
HARTHALA,HRH,28.8740° N,78.7387° E
HARUA ROAD,HRO,22.6621° N,88.6904° E
