Train Number,Train Name
91023,CCG BVI FAST
92007,CCG VR FAST
92009,CCG VR FAST
90349,ADH VRR SEMI FAST
90501,ADH VRR SEMI FAST
79430,ADI ANND FAST DMU
69106,ADI ANND MEMU
69116,ADI ANND MEMU
69128,ADI ANND MEMU
69130,ADI ANND MEMU
14804,ADI BGKT EXPRESS
19036,ADI BRC INTERCITY EXP
69114,ADI BRC MEMU
69108,ADI BRC MEMU
69102,ADI BRC MEMU
19420,ADI CHENNAI EXP
15560,ADI DBG JANSADHARAN
12931,ADI DOUBLE DECKR
12267,RJT DURONTO EXP
12298,ADI DURONTO EXP
69131,ADI GNC MEMU
19223,ADI JAT EXPRESS
54804,ADI JU PASS
19401,ADI LUCKNOW EXP
79431,ADI MSH DMU
19421,ADI PNBE EXPRESS
79435,ADI PTN DMU
79433,ADI PTN DMU
59473,ADI PTN PASS
12844,ADI PURI EXP
18406,ADI PURI EXP
12958,ADI SJ RAJDHANI
19119,ADI SMNH EXPRES
19415,ADI SVDK EXPRESS
19407,ADI VARANASI EXP
16501,ADI YPR EXPRESS
68061,ADRA ASN MEMU
68063,ADRA ASN MEMU
68065,ADRA ASN MEMU
68067,ADRA ASN MEMU
68069,ADRA ASN MEMU
68053,ADRA BBM MEMU
68075,ADRA BJE MEMU
68082,ADRA VSU MEMU
68098,ADRA GBA MEMU
58016,ADRA HWH PASS
58602,ADRA KGP PASS
68071,ADRA KNF MEMU
68090,ADRA MDN MEMU
68057,ADRA PRR MEMU
68077,ADRA VAA MEMU
68084,ADRA VSU MEMU
12547,AGC ADI SF EXP
12195,AF AII INTERCITY
71903,IDH BKI DMU
71901,IDH BTE DMU
71905,IDH BTE DMU
51816,AF JHS PASS
59814,AF KOTA PASS
55334,AF KSJ PASS
15055,AF RMR EXPRESS
12954,AG KRANTI RJDHN
64952,AGC BXN MEMU
51901,AGC DLI PASS
64160,AGC ETW MEMU
51882,AGC GWL PASS
51832,AGC JHS PASS
13168,AGC KOAA EXP
12320,AGC KOAA EXP
64953,AGC NZM MEMU
64957,AGC PWL MEMU
64955,AGC TDL MEMU
12342,AGNIBINA EXPRES
